Fecha,Provincia,Casos,Fallecidos
03/03/2020,Capital Federal,1,0
03/05/2020,Buenos Aires,1,0
03/08/2020,Buenos Aires,8,0
03/09/2020,Capital Federal,1,1
03/09/2020,Chaco,5,0
03/09/2020,Rio Negro,1,0
03/09/2020,San Luis,2,0
03/10/2020,Buenos Aires,1,0
03/10/2020,Capital Federal,1,0
03/11/2020,Buenos Aires,1,0
03/11/2020,Capital Federal,1,0
03/12/2020,Capital Federal,10,0
03/13/2020,Buenos Aires,1,0
03/13/2020,Capital Federal,2,1
03/14/2020,Capital Federal,11,0
03/15/2020,Buenos Aires,1,0
03/15/2020,Capital Federal,6,0
03/15/2020,Chaco,4,0
03/15/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",1,0
03/16/2020,Buenos Aires,1,0
03/16/2020,Capital Federal,5,0
03/16/2020,Chaco,3,0
03/17/2020,Buenos Aires,1,0
03/17/2020,Capital Federal,4,0
03/17/2020,Chaco,1,0
03/17/2020,Córdoba,2,0
03/17/2020,Entre Rios,1,0
03/17/2020,Jujuy,1,0
03/17/2020,Rio Negro,1,0
03/17/2020,Salta,1,0
03/17/2020,Santa Cruz,1,0
03/18/2020,Buenos Aires,6,0
03/18/2020,Capital Federal,10,0
03/18/2020,Chaco,1,0
03/18/2020,Córdoba,1,0
03/18/2020,Entre Rios,1,0
03/19/2020,Buenos Aires,14,0
03/19/2020,Capital Federal,8,1
03/19/2020,Chaco,2,0
03/19/2020,Córdoba,2,0
03/19/2020,Rio Negro,2,0
03/19/2020,Santa Fe,1,0
03/19/2020,Santiago del Estero,1,0
03/19/2020,Tucumán,1,0
03/20/2020,Buenos Aires,9,0
03/20/2020,Capital Federal,9,0
03/20/2020,Chaco,1,0
03/20/2020,Córdoba,4,0
03/20/2020,Corrientes,1,0
03/20/2020,Entre Rios,2,0
03/20/2020,Neuquén,1,0
03/20/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",1,0
03/21/2020,Buenos Aires,14,1
03/21/2020,Capital Federal,29,0
03/21/2020,Chaco,5,0
03/21/2020,Córdoba,4,0
03/21/2020,Corrientes,2,0
03/21/2020,Mendoza,5,0
03/21/2020,Rio Negro,1,0
03/21/2020,Santa Fe,3,0
03/21/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",3,0
03/21/2020,Tucumán,1,0
03/22/2020,Buenos Aires,8,0
03/22/2020,Capital Federal,11,0
03/22/2020,Chaco,7,0
03/22/2020,Córdoba,8,0
03/22/2020,Tucumán,5,0
03/23/2020,Buenos Aires,5,0
03/23/2020,Capital Federal,11,0
03/23/2020,Chaco,4,0
03/23/2020,Córdoba,3,0
03/23/2020,Santa Fe,14,0
03/24/2020,Buenos Aires,29,1
03/24/2020,Capital Federal,29,0
03/24/2020,Chaco,9,1
03/24/2020,Córdoba,7,0
03/24/2020,La Pampa,1,0
03/24/2020,Neuquén,1,0
03/24/2020,Santa Cruz,1,0
03/24/2020,Santa Fe,3,0
03/24/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",4,0
03/25/2020,Buenos Aires,30,0
03/25/2020,Capital Federal,21,1
03/25/2020,Chaco,12,1
03/25/2020,Córdoba,15,0
03/25/2020,Entre Rios,3,0
03/25/2020,Mendoza,1,0
03/25/2020,Neuquén,1,0
03/25/2020,San Luis,4,0
03/25/2020,Santa Cruz,5,0
03/25/2020,Santa Fe,22,0
03/25/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",1,0
03/25/2020,Tucumán,2,0
03/26/2020,Buenos Aires,27,2
03/26/2020,Capital Federal,30,1
03/26/2020,Chaco,3,1
03/26/2020,Córdoba,3,0
03/26/2020,Jujuy,2,0
03/26/2020,Mendoza,1,0
03/26/2020,Neuquén,3,0
03/26/2020,Santa Cruz,2,0
03/26/2020,Santa Fe,12,0
03/26/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",3,0
03/27/2020,Buenos Aires,36,1
03/27/2020,Capital Federal,27,1
03/27/2020,Chaco,3,0
03/27/2020,Córdoba,5,0
03/27/2020,Corrientes,3,0
03/27/2020,Entre Rios,3,0
03/27/2020,Mendoza,1,1
03/27/2020,Misiones,1,0
03/27/2020,Neuquén,4,1
03/27/2020,Rio Negro,3,1
03/27/2020,Santa Fe,9,0
03/27/2020,Santiago del Estero,1,0
03/27/2020,Tucumán,6,0
03/28/2020,Buenos Aires,8,1
03/28/2020,Capital Federal,18,1
03/28/2020,Chaco,5,0
03/28/2020,Córdoba,1,0
03/28/2020,Corrientes,2,0
03/28/2020,Mendoza,1,0
03/28/2020,Neuquén,2,0
03/28/2020,Santa Fe,13,0
03/28/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",4,0
03/29/2020,Buenos Aires,16,0
03/29/2020,Capital Federal,13,0
03/29/2020,Chaco,4,0
03/29/2020,Córdoba,18,0
03/29/2020,Corrientes,1,0
03/29/2020,La Pampa,2,0
03/29/2020,La Rioja,1,0
03/29/2020,Mendoza,1,0
03/29/2020,Misiones,1,0
03/29/2020,San Juan,1,0
03/29/2020,Santa Fe,13,0
03/29/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",4,0
03/29/2020,Tucumán,0,1
03/30/2020,Buenos Aires,36,2
03/30/2020,Capital Federal,34,0
03/30/2020,Chaco,12,0
03/30/2020,Córdoba,8,0
03/30/2020,Corrientes,10,0
03/30/2020,Entre Rios,3,0
03/30/2020,Mendoza,3,0
03/30/2020,Neuquén,8,1
03/30/2020,Santa Fe,21,0
03/30/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",11,0
03/30/2020,Tucumán,0,1
03/31/2020,Buenos Aires,17,0
03/31/2020,Capital Federal,19,0
03/31/2020,Chaco,3,1
03/31/2020,Córdoba,14,1
03/31/2020,Corrientes,1,0
03/31/2020,La Rioja,0,1
03/31/2020,Mendoza,2,0
03/31/2020,Misiones,1,0
03/31/2020,Rio Negro,1,0
03/31/2020,Santa Fe,22,0
03/31/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",7,0
03/31/2020,Tucumán,1,0
04/01/2020,Buenos Aires,10,2
04/01/2020,Capital Federal,10,1
04/01/2020,Chaco,12,0
04/01/2020,Córdoba,6,0
04/01/2020,Corrientes,1,0
04/01/2020,Entre Rios,1,0
04/01/2020,Mendoza,10,0
04/01/2020,Neuquén,4,1
04/01/2020,Salta,2,0
04/01/2020,San Luis,1,0
04/01/2020,Santa Cruz,10,0
04/01/2020,Santa Fe,11,1
04/01/2020,Tucumán,1,0
04/02/2020,Buenos Aires,36,2
04/02/2020,Capital Federal,24,0
04/02/2020,Chaco,3,1
04/02/2020,Córdoba,16,0
04/02/2020,Corrientes,1,0
04/02/2020,Entre Rios,2,0
04/02/2020,Jujuy,2,0
04/02/2020,La Rioja,3,0
04/02/2020,Mendoza,0,1
04/02/2020,Neuquén,4,0
04/02/2020,San Luis,2,0
04/02/2020,Santa Cruz,2,0
04/02/2020,Santa Fe,8,0
04/02/2020,Santiago del Estero,1,0
04/02/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",24,0
04/02/2020,Tucumán,4,0
04/03/2020,Buenos Aires,22,3
04/03/2020,Capital Federal,28,0
04/03/2020,Chaco,8,1
04/03/2020,Córdoba,14,0
04/03/2020,Entre Rios,2,0
04/03/2020,Mendoza,2,1
04/03/2020,Neuquén,1,0
04/03/2020,Rio Negro,1,0
04/03/2020,San Luis,1,0
04/03/2020,Santa Fe,8,0
04/03/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",1,0
04/03/2020,Tucumán,0,1
04/04/2020,Buenos Aires,26,1
04/04/2020,Capital Federal,34,1
04/04/2020,Chaco,8,0
04/04/2020,Córdoba,3,0
04/04/2020,La Rioja,2,0
04/04/2020,Neuquén,4,0
04/04/2020,Rio Negro,5,0
04/04/2020,Santa Cruz,1,0
04/04/2020,Santa Fe,5,0
04/04/2020,Santiago del Estero,1,0
04/04/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",8,0
04/04/2020,Tucumán,1,0
04/05/2020,Buenos Aires,33,1
04/05/2020,Capital Federal,32,0
04/05/2020,Córdoba,5,1
04/05/2020,Entre Rios,1,0
04/05/2020,La Rioja,2,0
04/05/2020,Mendoza,2,0
04/05/2020,Neuquén,11,0
04/05/2020,Rio Negro,2,0
04/05/2020,Santa Cruz,1,0
04/05/2020,Santa Fe,11,0
04/05/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",3,0
04/06/2020,Buenos Aires,12,2
04/06/2020,Capital Federal,17,3
04/06/2020,Chaco,4,1
04/06/2020,Córdoba,7,0
04/06/2020,Corrientes,2,0
04/06/2020,La Rioja,1,0
04/06/2020,Mendoza,1,0
04/06/2020,Neuquén,6,1
04/06/2020,Rio Negro,2,0
04/06/2020,San Luis,1,0
04/06/2020,Santa Fe,8,0
04/06/2020,Santiago del Estero,5,0
04/06/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",2,0
04/06/2020,Tucumán,5,0
04/07/2020,Buenos Aires,34,4
04/07/2020,Capital Federal,24,2
04/07/2020,Chaco,4,0
04/07/2020,Córdoba,4,0
04/07/2020,Entre Rios,1,0
04/07/2020,Mendoza,2,1
04/07/2020,Neuquén,3,0
04/07/2020,Rio Negro,2,0
04/07/2020,Santa Cruz,8,0
04/07/2020,Santa Fe,3,0
04/07/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",2,0
04/07/2020,Tucumán,1,0
04/08/2020,Buenos Aires,17,1
04/08/2020,Capital Federal,18,2
04/08/2020,Chaco,15,0
04/08/2020,Córdoba,1,0
04/08/2020,La Pampa,1,0
04/08/2020,Mendoza,6,0
04/08/2020,Neuquén,17,1
04/08/2020,Rio Negro,1,0
04/08/2020,Santa Fe,2,0
04/08/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",2,0
04/08/2020,Tucumán,0,1
04/09/2020,Buenos Aires,28,6
04/09/2020,Capital Federal,23,6
04/09/2020,Chaco,6,1
04/09/2020,Córdoba,5,0
04/09/2020,Entre Rios,2,0
04/09/2020,La Rioja,5,0
04/09/2020,Mendoza,2,0
04/09/2020,Neuquén,7,0
04/09/2020,Rio Negro,13,0
04/09/2020,Santa Fe,7,1
04/09/2020,Santiago del Estero,0,0
04/09/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",0,0
04/09/2020,Tucumán,1,0
04/10/2020,Buenos Aires,19,1
04/10/2020,Capital Federal,11,1
04/10/2020,Chaco,5,0
04/10/2020,Córdoba,13,0
04/10/2020,La Pampa,1,0
04/10/2020,Mendoza,9,0
04/10/2020,Neuquén,7,0
04/10/2020,Rio Negro,7,1
04/10/2020,Santa Cruz,6,0
04/10/2020,Santa Fe,1,0
04/10/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",2,0
04/11/2020,Buenos Aires,37,4
04/11/2020,Capital Federal,46,3
04/11/2020,Córdoba,32,0
04/11/2020,La Rioja,4,0
04/11/2020,Mendoza,5,0
04/11/2020,Neuquén,1,0
04/11/2020,Rio Negro,23,0
04/11/2020,San Juan,1,0
04/11/2020,Santa Cruz,3,0
04/11/2020,Santa Fe,3,0
04/11/2020,Santiago del Estero,3,0
04/11/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",8,0
04/11/2020,Tucumán,1,0
04/12/2020,Buenos Aires,28,4
04/12/2020,Capital Federal,8,1
04/12/2020,Chaco,1,0
04/12/2020,Córdoba,5,1
04/12/2020,Entre Rios,-1,0
04/12/2020,La Rioja,1,0
04/12/2020,Mendoza,3,0
04/12/2020,Neuquén,1,0
04/12/2020,Rio Negro,13,0
04/12/2020,Santa Fe,3,0
04/12/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",4,0
04/13/2020,Buenos Aires,29,1
04/13/2020,Capital Federal,10,1
04/13/2020,Chaco,3,0
04/13/2020,Chubut,0,0
04/13/2020,Catamarca,0,0
04/13/2020,Córdoba,4,1
04/13/2020,Corrientes,7,0
04/13/2020,Entre Rios,0,0
04/13/2020,Formosa,0,0
04/13/2020,Jujuy,0,0
04/13/2020,La Pampa,0,0
04/13/2020,La Rioja,3,0
04/13/2020,Mendoza,2,0
04/13/2020,Misiones,0,0
04/13/2020,Neuquén,2,0
04/13/2020,Rio Negro,3,0
04/13/2020,Salta,0,0
04/13/2020,San Juan,0,0
04/13/2020,San Luis,0,0
04/13/2020,Santa Cruz,0,0
04/13/2020,Santa Fe,2,0
04/13/2020,Santiago del Estero,0,0
04/13/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",4,0
04/13/2020,Tucumán,0,0
04/14/2020,Buenos Aires,66,2
04/14/2020,Capital Federal,22,2
04/14/2020,Chaco,31,1
04/14/2020,Córdoba,12,1
04/14/2020,Corrientes,1,0
04/14/2020,La Rioja,6,0
04/14/2020,Mendoza,3,0
04/14/2020,Neuquén,2,0
04/14/2020,Rio Negro,13,1
04/14/2020,Santa Fe,2,0
04/14/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",8,0
04/15/2020,Buenos Aires,62,1
04/15/2020,Capital Federal,30,4
04/15/2020,Chaco,7,0
04/15/2020,Chubut,1,0
04/15/2020,Catamarca,0,0
04/15/2020,Córdoba,6,1
04/15/2020,Corrientes,-1,0
04/15/2020,Entre Rios,0,0
04/15/2020,Formosa,0,0
04/15/2020,Jujuy,0,0
04/15/2020,La Pampa,0,0
04/15/2020,La Rioja,3,1
04/15/2020,Mendoza,1,0
04/15/2020,Misiones,0,0
04/15/2020,Neuquén,1,0
04/15/2020,Rio Negro,12,0
04/15/2020,Salta,1,0
04/15/2020,San Juan,0,0
04/15/2020,San Luis,0,0
04/15/2020,Santa Cruz,0,0
04/15/2020,Santa Fe,2,0
04/15/2020,Santiago del Estero,0,0
04/15/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",3,0
04/15/2020,Tucumán,0,0
04/16/2020,Buenos Aires,31,5
04/16/2020,Capital Federal,15,3
04/16/2020,Chaco,11,1
04/16/2020,Chubut,0,0
04/16/2020,Catamarca,0,0
04/16/2020,Córdoba,13,0
04/16/2020,Corrientes,0,0
04/16/2020,Entre Rios,1,0
04/16/2020,Formosa,0,0
04/16/2020,Jujuy,0,0
04/16/2020,La Pampa,0,0
04/16/2020,La Rioja,3,0
04/16/2020,Mendoza,5,1
04/16/2020,Misiones,0,0
04/16/2020,Neuquén,1,0
04/16/2020,Rio Negro,9,0
04/16/2020,Salta,-1,0
04/16/2020,San Juan,0,0
04/16/2020,San Luis,0,0
04/16/2020,Santa Cruz,0,0
04/16/2020,Santa Fe,3,0
04/16/2020,Santiago del Estero,0,0
04/16/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",7,0
04/16/2020,Tucumán,0,0
04/17/2020,Buenos Aires,34,3
04/17/2020,Capital Federal,14,1
04/17/2020,Chaco,22,0
04/17/2020,Chubut,0,0
04/17/2020,Catamarca,0,0
04/17/2020,Córdoba,6,0
04/17/2020,Corrientes,0,0
04/17/2020,Entre Rios,0,0
04/17/2020,Formosa,0,0
04/17/2020,Jujuy,0,0
04/17/2020,La Pampa,0,0
04/17/2020,La Rioja,1,1
04/17/2020,Mendoza,1,2
04/17/2020,Misiones,1,0
04/17/2020,Neuquén,1,0
04/17/2020,Rio Negro,1,0
04/17/2020,Salta,0,0
04/17/2020,San Juan,0,0
04/17/2020,San Luis,0,0
04/17/2020,Santa Cruz,0,0
04/17/2020,Santa Fe,6,0
04/17/2020,Santiago del Estero,0,0
04/17/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",2,0
04/17/2020,Tucumán,0,0
04/18/2020,Buenos Aires,31,2
04/18/2020,Capital Federal,14,1
04/18/2020,Chaco,24,0
04/18/2020,Córdoba,2,0
04/18/2020,Misiones,1,0
04/18/2020,Neuquén,3,0
04/18/2020,Rio Negro,3,0
04/18/2020,Santa Fe,3,0
04/19/2020,Buenos Aires,48,1
04/19/2020,Capital Federal,15,0
04/19/2020,Chaco,5,0
04/19/2020,Chubut,1,0
04/19/2020,Córdoba,11,1
04/19/2020,La Rioja,4,0
04/19/2020,Mendoza,3,0
04/19/2020,Neuquén,3,0
04/19/2020,Rio Negro,8,0
04/19/2020,Santa Fe,1,0
04/19/2020,"Tierra del Fuego, Antartida e islas del atlantico sur",3,0
04/20/2020,Buenos Aires,42,0
04/20/2020,Capital Federal,22,1
04/20/2020,Chaco,5,1
04/20/2020,Córdoba,0,2
04/20/2020,Corrientes,3,0
04/20/2020,Mendoza,1,1
04/20/2020,Neuquén,3,0
04/20/2020,Rio Negro,10,3
04/20/2020,Santa Cruz,1,0
04/20/2020,Santa Fe,2,0
04/20/2020,Tucumán,1,0
04/21/2020,Buenos Aires,60,4
04/21/2020,Capital Federal,33,3
04/21/2020,Chaco,5,0
04/21/2020,La Rioja,1,2
04/21/2020,Rio Negro,11,0
04/21/2020,Santa Fe,1,0
